model,explainer,idsds
x_resnet50,XG-CAM,0.4540432235350114
x_resnet50,Layer-CAM,0.2471236950320532
x_vgg16,Gradient-abs,0.1691334499069497
x_vgg16,IxG-raw,0.28091699684477817
x_vgg16,IxG-abs,0.14103863176962086
x_vgg16,IxG-SG-raw,0.05696449224134701
x_vgg16,IxG-SG-abs,0.14813376202455167
x_vgg16,Grad-CAM,0.4859719639163881
x_vgg16,Grad-CAMpp,0.3481145929955157
x_vgg16,SG-CAMpp,0.2476862303904343
x_vgg16,XG-CAM,0.50932902244307
x_vgg16,Layer-CAM,0.35328047230982745
