Model,MAD
Resnet-50 / VGG-16,0.2015453991296186
Resnet-18,0.04217302537336376
Resnet-50,0.05390533096145857
Resnet-101,0.05523264708648869
Resnet-152,0.051414417380691635
Wide Resnet-50,0.05068848675720844
Fixup Resnet-50,0.21391772354420976
X Resnet-50,0.20672785248317768
VGG-11,0.04330438704498391
VGG-13,0.04705960900666871
VGG-16,0.04445504777481494
VGG-19,0.04546089394976203
BN VGG-16,0.05193250719232334
X VGG-16,0.22001114528575874
