Model,MAD
Resnet-50 / VGG-16,0.18598635125123752
Resnet-18,0.05420987327017408
Resnet-50,0.05993664618049756
Resnet-101,0.05966990203184761
Resnet-152,0.05668494571308958
Wide Resnet-50,0.06067082559841341
Fixup Resnet-50,0.26113424897326853
X Resnet-50,0.2587691976900326
VGG-11,0.0811653619880446
VGG-13,0.08780165245766477
VGG-16,0.08802146354289937
VGG-19,0.08657782176391274
BN VGG-16,0.07646038476377726
X VGG-16,0.18565900163478596
