Model,MAD
Resnet-50 / VGG-16,0.21268692800621141
Resnet-18,0.059650681269775642
Resnet-50,0.060494531526746767
Resnet-101,0.061855465088238553
Resnet-152,0.05975208450610393
Wide Resnet-50,0.061330633064488501
Fixup Resnet-50,0.27500019352348448
X Resnet-50,0.26756432111091324
VGG-11,0.089970814522757035
VGG-13,0.091856011363279483
VGG-16,0.090916281701014014
VGG-19,0.090455553467449734
BN VGG-16,0.089863232725347324
X VGG-16,0.20104750348747873
