Model,Softmax MAD,Logit MAD
Resnet-50 / VGG-16,0.000623710553906858,1.5006047454833984
Resnet-18,0.0002470408531837165,0.4373722342967987
Resnet-50,0.000248053883202374,0.4248729929924011
Resnet-101,0.0002521940466016531,0.4553028371810913
Resnet-152,0.00023635529228486121,0.43061197681427
Wide Resnet-50,0.00019884633966721593,0.2919864444732666
Fixup Resnet-50,0.0019221216466277838,1.5908148963928224
X Resnet-50,0.0019402488991618156,2.362132389831543
VGG-11,0.00014541273908689619,0.2542083285570145
VGG-13,0.00015006973163690418,0.27444956068992615
VGG-16,0.00014639765999745576,0.27448208446502687
VGG-19,0.0001449201371287927,0.2754010151386261
BN VGG-16,0.00021644833809696137,0.363050526714325
X VGG-16,0.0018550439722836017,2.255561235809326
