model,explainer,idsds
resnet101,Dummy-Random-Plus-One,0.0004925282691341318
resnet152,Gradient-raw,-0.0035762195234547616
resnet152,Gradient-abs,0.07349910772631363
resnet152,IxG-raw,0.061080990219583256
resnet152,IxG-abs,0.06610411537293395
resnet152,IxG-SG-raw,-0.004255810863483128
resnet152,IxG-SG-abs,0.033208825824958293
resnet152,Grad-CAM,0.15234029931120494
resnet152,Grad-CAMpp,0.1320699727356304
resnet152,SG-CAMpp,0.051578241847513154
resnet152,XG-CAM,0.15234029931120494
resnet152,Layer-CAM,0.112980445381831
resnet152,Dummy-Gaussian-1,-0.06300972634806967
resnet152,Dummy-Gaussian-2,-0.057089784360851464
resnet152,Dummy-Gaussian-4,-0.05392777383007318
resnet152,Dummy-Gaussian-6,-0.058417022875862486
resnet152,Dummy-Gaussian-8,-0.059795651740605006
resnet152,Dummy-Gaussian-12,-0.05733570833923134
resnet152,Dummy-Gaussian-16,-0.05938953184552179
resnet152,Dummy-Gaussian-20,-0.06044930913170672
resnet152,Dummy-Gaussian-24,-0.06232398138981868
resnet152,Dummy-Gaussian-28,-0.06352372750625132
resnet152,Dummy-Gaussian-32,-0.06387377903302084
resnet152,Dummy-Gaussian-40,-0.05545382873938332
resnet152,Dummy-Gaussian-48,-0.06260544947807417
resnet152,Dummy-Gaussian-56,-0.054884432003671116
resnet152,Dummy-Gaussian-64,-0.052309626235113794
resnet152,Dummy-Gaussian-80,-0.057262511568509096
resnet152,Dummy-Gaussian-96,-0.060600942322169865
resnet152,Dummy-Gaussian-128,-0.053082534707651764
resnet152,Dummy-Gaussian-160,-0.05768673530336859
resnet152,Dummy-Gaussian-256,-0.059693975686010294
resnet152,Dummy-Entropy-3,0.028862553323419988
resnet152,Dummy-Entropy-5,0.028157209565445852
resnet152,Dummy-Entropy-7,0.02773154314964071
resnet152,Dummy-Entropy-9,0.027515169847067082
resnet152,Dummy-Entropy-13,0.026189518406342698
resnet152,Dummy-Entropy-17,0.02489260539926472
resnet152,Dummy-Entropy-31,0.02107292769078131
resnet152,Dummy-Random,0.000346833150114853
resnet152,Dummy-Random-Squared,0.000346833150114853
resnet152,Dummy-Random-Plus-One,0.00036930507299832933
wide_resnet50_2,Gradient-raw,-0.004661048717218209
wide_resnet50_2,Gradient-abs,0.12120600980642067
wide_resnet50_2,IxG-raw,0.06473512168058648
wide_resnet50_2,IxG-abs,0.09952317404147483
wide_resnet50_2,IxG-SG-raw,0.0002781484758063443
wide_resnet50_2,IxG-SG-abs,0.05005473002354142
wide_resnet50_2,Grad-CAM,0.22555858802058504
wide_resnet50_2,Grad-CAMpp,0.20723710845541402
wide_resnet50_2,SG-CAMpp,0.09667346418557231
wide_resnet50_2,XG-CAM,0.22555858802058504
wide_resnet50_2,Layer-CAM,0.1957475521434669
wide_resnet50_2,Dummy-Gaussian-1,-0.03838869862282503
wide_resnet50_2,Dummy-Gaussian-2,-0.03090614526109828
wide_resnet50_2,Dummy-Gaussian-4,-0.02648279477493005
wide_resnet50_2,Dummy-Gaussian-6,-0.032225449805042175
wide_resnet50_2,Dummy-Gaussian-8,-0.03178912735804978
wide_resnet50_2,Dummy-Gaussian-12,-0.03150494980646686
wide_resnet50_2,Dummy-Gaussian-16,-0.03488774432340804
wide_resnet50_2,Dummy-Gaussian-20,-0.03660105647167283
wide_resnet50_2,Dummy-Gaussian-24,-0.037649812523974556
wide_resnet50_2,Dummy-Gaussian-28,-0.03650813892822375
wide_resnet50_2,Dummy-Gaussian-32,-0.03699459759551312
wide_resnet50_2,Dummy-Gaussian-40,-0.028661697235624953
wide_resnet50_2,Dummy-Gaussian-48,-0.037551967956974935
wide_resnet50_2,Dummy-Gaussian-56,-0.029910690638479915
wide_resnet50_2,Dummy-Gaussian-64,-0.02984160528017641
wide_resnet50_2,Dummy-Gaussian-80,-0.030601437402187005
wide_resnet50_2,Dummy-Gaussian-96,-0.03291845583920609
wide_resnet50_2,Dummy-Gaussian-128,-0.026072550390171825
wide_resnet50_2,Dummy-Gaussian-160,-0.03255750832734412
wide_resnet50_2,Dummy-Gaussian-256,-0.034149111326956486
wide_resnet50_2,Dummy-Entropy-3,0.027845948062951438
wide_resnet50_2,Dummy-Entropy-5,0.027432906454265757
wide_resnet50_2,Dummy-Entropy-7,0.027090252061212877
wide_resnet50_2,Dummy-Entropy-9,0.02683357742762379
wide_resnet50_2,Dummy-Entropy-13,0.0259516871258298
wide_resnet50_2,Dummy-Entropy-17,0.025757443904907827
wide_resnet50_2,Dummy-Entropy-31,0.023829871558923858
wide_resnet50_2,Dummy-Random,-0.0008476348992483323
wide_resnet50_2,Dummy-Random-Squared,-0.0008476348992483323
wide_resnet50_2,Dummy-Random-Plus-One,-0.0008452455431514589
fixup_resnet50,Gradient-raw,-0.010741329414763632
fixup_resnet50,Gradient-abs,0.17353765875455454
fixup_resnet50,IxG-raw,0.15792685669730563
fixup_resnet50,IxG-abs,0.1419996701204063
fixup_resnet50,IxG-SG-raw,0.03564274039975412
fixup_resnet50,IxG-SG-abs,0.19138714369255236
fixup_resnet50,Grad-CAM,0.3575991446169851
fixup_resnet50,Grad-CAMpp,0.27247304733772143
fixup_resnet50,SG-CAMpp,0.21612811323866787
fixup_resnet50,XG-CAM,0.3575991446169851
fixup_resnet50,Layer-CAM,0.26373048837174434
fixup_resnet50,Dummy-Gaussian-1,0.006518354605090838
fixup_resnet50,Dummy-Gaussian-2,0.013170931866933033
fixup_resnet50,Dummy-Gaussian-4,0.009159816997008819
fixup_resnet50,Dummy-Gaussian-6,0.014546913881995327
fixup_resnet50,Dummy-Gaussian-8,0.006216459040579114
fixup_resnet50,Dummy-Gaussian-12,0.013542752466658137
fixup_resnet50,Dummy-Gaussian-16,0.010225562011156117
fixup_resnet50,Dummy-Gaussian-20,0.01104061126415691
fixup_resnet50,Dummy-Gaussian-24,0.009442143025948013
fixup_resnet50,Dummy-Gaussian-28,0.007203808521486474
fixup_resnet50,Dummy-Gaussian-32,0.0027367539121014904
fixup_resnet50,Dummy-Gaussian-40,0.004517513062872148
fixup_resnet50,Dummy-Gaussian-48,0.010942940074528765
fixup_resnet50,Dummy-Gaussian-56,0.006705701941483661
fixup_resnet50,Dummy-Gaussian-64,0.013778414841760065
fixup_resnet50,Dummy-Gaussian-80,0.006264184223742251
fixup_resnet50,Dummy-Gaussian-96,0.005699692983301123
fixup_resnet50,Dummy-Gaussian-128,0.00925271529662759
fixup_resnet50,Dummy-Gaussian-160,0.005988933069975888
fixup_resnet50,Dummy-Gaussian-256,0.00508952016173883
fixup_resnet50,Dummy-Entropy-3,0.056887530227344295
fixup_resnet50,Dummy-Entropy-5,0.057059817118655466
fixup_resnet50,Dummy-Entropy-7,0.05693950152576648
fixup_resnet50,Dummy-Entropy-9,0.056974947249025173
fixup_resnet50,Dummy-Entropy-13,0.05723501106204756
fixup_resnet50,Dummy-Entropy-17,0.056781859343102384
fixup_resnet50,Dummy-Entropy-31,0.05670279438576063
fixup_resnet50,Dummy-Random,-0.006415062486370128
fixup_resnet50,Dummy-Random-Squared,-0.006415062486370128
fixup_resnet50,Dummy-Random-Plus-One,-0.006424377498234442
vgg11,Gradient-raw,-0.025164911927128136
vgg11,Gradient-abs,0.3032391929706054
vgg11,IxG-raw,0.18420102711461447
vgg11,IxG-abs,0.24196253189999717
vgg11,IxG-SG-raw,0.01983805212715684
vgg11,IxG-SG-abs,0.23390670350665488
vgg11,Grad-CAM,0.6103166072730698
vgg11,Grad-CAMpp,0.5078996216528349
vgg11,SG-CAMpp,0.35499435029418674
vgg11,XG-CAM,0.6569306320348659
vgg11,Layer-CAM,0.530504219750752
vgg11,Dummy-Gaussian-1,0.04155427461519877
vgg11,Dummy-Gaussian-2,0.049556803832052625
vgg11,Dummy-Gaussian-4,0.05424463937931785
vgg11,Dummy-Gaussian-6,0.061665173625498955
vgg11,Dummy-Gaussian-8,0.04782106405530255
vgg11,Dummy-Gaussian-12,0.0584594183383951
vgg11,Dummy-Gaussian-16,0.04289968519938823
vgg11,Dummy-Gaussian-20,0.05249325576588215
vgg11,Dummy-Gaussian-24,0.042715829544041226
vgg11,Dummy-Gaussian-28,0.044987445759654215
vgg11,Dummy-Gaussian-32,0.047158945492008476
vgg11,Dummy-Gaussian-40,0.04218101160753586
vgg11,Dummy-Gaussian-48,0.04690678329920251
vgg11,Dummy-Gaussian-56,0.04014775219751196
vgg11,Dummy-Gaussian-64,0.049281428085648574
vgg11,Dummy-Gaussian-80,0.041417226308032754
vgg11,Dummy-Gaussian-96,0.047310978572746076
vgg11,Dummy-Gaussian-128,0.053855312200942106
vgg11,Dummy-Gaussian-160,0.03861288945829207
vgg11,Dummy-Gaussian-256,0.03756900510695535
vgg11,Dummy-Entropy-3,0.1119663443944582
vgg11,Dummy-Entropy-5,0.11229719841785586
vgg11,Dummy-Entropy-7,0.11279395740202999
vgg11,Dummy-Entropy-9,0.1134945046205026
vgg11,Dummy-Entropy-13,0.1134316977626969
vgg11,Dummy-Entropy-17,0.11406905443239708
vgg11,Dummy-Entropy-31,0.11596417892806425
vgg11,Dummy-Random,-0.0017127203208256814
vgg11,Dummy-Random-Squared,-0.0017127203208256814
vgg11,Dummy-Random-Plus-One,-0.0017234840126010014
vgg13,Gradient-raw,-0.024218345158627273
vgg13,Gradient-abs,0.28509387296864974
vgg13,IxG-raw,0.15145413481863998
vgg13,IxG-abs,0.22705249177721157
vgg13,IxG-SG-raw,0.04218973430421222
vgg13,IxG-SG-abs,0.24480230726092692
