model,explainer,idsds
cifar100_vgg13_bn,IG-U-raw,0.2927135711966104
cifar100_vgg13_bn,IG-U-abs,0.1725618112537681
cifar100_vgg13_bn,IG-SG-raw,0.016851162614473402
cifar100_vgg13_bn,IG-SG-abs,0.12315445982810443
cifar100_vgg13_bn,IG-SG-SQ-abs,0.14115888263440163
cifar100_vgg13_bn,Grad-CAM,0.06060803856566615
cifar100_vgg13_bn,Grad-CAMpp,0.04390773711198071
cifar100_vgg13_bn,SG-CAMpp,0.04253149715961732
cifar100_vgg13_bn,XG-CAM,0.03852509560101248
cifar100_vgg13_bn,Layer-CAM,0.03442412219359656
cifar100_vgg16_bn,Gradient-raw,-0.009452466983476453
cifar100_vgg16_bn,Gradient-abs,0.09781768104960509
cifar100_vgg16_bn,IxG-raw,0.14350370775509722
cifar100_vgg16_bn,IxG-abs,0.07399073735088466
cifar100_vgg16_bn,IxG-SG-raw,0.00710722374375093
cifar100_vgg16_bn,IxG-SG-abs,0.060071593074105235
cifar100_vgg16_bn,IG-raw,0.2534019411006975
cifar100_vgg16_bn,IG-abs,0.1265361712745449
cifar100_vgg16_bn,IG-U-raw,0.22343619357423014
cifar100_vgg16_bn,IG-U-abs,0.13017340021433935
cifar100_vgg16_bn,IG-SG-raw,0.006436630961919127
cifar100_vgg16_bn,IG-SG-abs,0.07734514153802781
cifar100_vgg16_bn,IG-SG-SQ-abs,0.09155970696486194
cifar100_vgg16_bn,Grad-CAM,0.009409769665581744
cifar100_vgg16_bn,Grad-CAMpp,0.008777894590683115
cifar100_vgg16_bn,SG-CAMpp,0.020015696305368674
cifar100_vgg16_bn,XG-CAM,0.0047046966255301975
cifar100_vgg16_bn,Layer-CAM,0.0028213227716554806
cifar100_vgg19_bn,Gradient-raw,-0.01497176015934476
cifar100_vgg19_bn,Gradient-abs,0.09880647275325301
cifar100_vgg19_bn,IxG-raw,0.1463652908701207
cifar100_vgg19_bn,IxG-abs,0.0764889525103359
cifar100_vgg19_bn,IxG-SG-raw,0.002868364708044978
cifar100_vgg19_bn,IxG-SG-abs,0.0704448658230335
cifar100_vgg19_bn,IG-raw,0.22506058715278482
cifar100_vgg19_bn,IG-abs,0.12552500324752655
cifar100_vgg19_bn,IG-U-raw,0.186229285381804
cifar100_vgg19_bn,IG-U-abs,0.12067941328021807
cifar100_vgg19_bn,IG-SG-raw,0.006410919807751471
cifar100_vgg19_bn,IG-SG-abs,0.07118853395830271
cifar100_vgg19_bn,IG-SG-SQ-abs,0.08077353807183639
cifar100_vgg19_bn,Grad-CAM,0.0058231160007205995
cifar100_vgg19_bn,Grad-CAMpp,0.003141160232953701
cifar100_vgg19_bn,SG-CAMpp,-0.0019100235986955277
cifar100_vgg19_bn,XG-CAM,0.005605354103437474
cifar100_vgg19_bn,Layer-CAM,0.0028238075082790163
